Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,ru
Turdus boulboul,Grey-winged Blackbird,gywbla1,445576111,FALSE,Серокрылый дрозд
Turdus simillimus,Indian Blackbird,eurbla2,558953171,FALSE,Индийский чёрный дрозд
Turdus cardis,Japanese Thrush,japthr1,281297,FALSE,Белобрюхий дрозд
Turdus hortulorum,Grey-backed Thrush,gybthr1,167993461,FALSE,Сизый дрозд
Turdus dissimilis,Black-breasted Thrush,blbthr2,203925511,FALSE,Черногрудый дрозд
Turdus unicolor,Tickell's Thrush,ticthr1,161025131,FALSE,Одноцветный дрозд
Turdus obscurus,Eyebrowed Thrush,eyethr,621158349,FALSE,Каруйский дрозд
Turdus feae,Grey-sided Thrush,gysthr1,423573221,FALSE,Буроголовый дрозд
Turdus celaenops,Izu Thrush,izuthr1,281524,FALSE,Рюкюйский дрозд
Turdus chrysolaus,Brown-headed Thrush,brhthr1,635003534,FALSE,Золотистый дрозд
Turdus pallidus,Pale Thrush,palthr1,129229171,FALSE,Бледный дрозд
Turdus poliocephalus,Island Thrush,norist1,,FALSE,
Turdus kesslleri,White-backed Thrush,whbthr2,619564656,FALSE,
Turdus maximus,Tibetan Blackbird,tibbla1,173593381,FALSE,Тибетский чёрный дрозд
Turdus pilaris,Fieldfare,fieldf,64396911,FALSE,Рябинник
Turdus albocinctus,White-collared Blackbird,whcbla1,635302766,FALSE,Ошейниковый дрозд
Turdus rubrocanus,Chestnut Thrush,chethr1,179447,FALSE,Бархатная филепитта
Turdus torquatus,Ring Ouzel,rinouz1,204596,FALSE,Белозобый дрозд
Turdus naumanni,Naumann's Thrush,dusthr1,217242421,FALSE,Бурый дрозд/Дрозд Науманна
Turdus eunomus,Dusky Thrush,dusthr2,404382721,FALSE,Бурый дрозд/Дрозд Науманна
Turdus atrogularis,Black-throated Thrush,datthr1,611686557,FALSE,Чернозобый дрозд
Turdus ruficollis,Rufous-throated Thrush,retthr1,165839171,FALSE,Краснозобый дрозд
Cataponera turdoides,Sulawesi Thrush,sulthr1,190311391,FALSE,Катапонера
MUSCICAPIDAE,Old World Flycatchers and Chats,,,FALSE,
Alethe diademata,White-tailed Alethe,ficale3,204023011,FALSE,Диадемовая алета
Alethe castanea,Fire-crested Alethe,ficale2,540799341,FALSE,Диадемовая алета
Tychaedon coryphoeus,Karoo Scrub-robin,kasrob2,609632105,FALSE,Голосистый тугайный соловей
Tychaedon signata,Brown Scrub-robin,brsrob1,208407091,FALSE,Натальский тугайный соловей
Tychaedon leucosticta,Forest Scrub-robin,fosrob1,1124,FALSE,Белоусый тугайный соловей
Tychaedon quadrivirgata,Bearded Scrub-robin,besrob1,46504,FALSE,Белогорлый тугайный соловей
Tychaedon barbata,Miombo Scrub-robin,misrob1,37213,FALSE,Бородатый тугайный соловей
Cercotrichas paena,Kalahari Scrub-robin,kasrob1,630888388,FALSE,Калахарский тугайный соловей
Cercotrichas galactotes,Rufous Scrub-robin,rutscr1,470529831,FALSE,Тугайный соловей
C. g. minor,African Scrub-robin,,,FALSE,
Cercotrichas podobe,Black Scrub-robin,blsrob1,27830811,FALSE,Чёрный тугайный соловей
Cercotrichas hartlaubi,Brown-backed Scrub-robin,bbsrob1,609665991,FALSE,Буроспинный тугайный соловей
Cercotrichas leucophrys,Red-backed Scrub-robin,rbsrob1,614126949,FALSE,Белокрылый тугайный соловей
Copsychus mindanensis,Philippine Magpie-robin,phimar1,234112501,FALSE,Филиппинский шама
Copsychus pica,Pelzeln's Magpie-robin,,,FALSE,Мадагаскарский шама (pica)
Copsychus albospecularis,Madagascar Magpie-robin,mamrob1,203985921,FALSE,Мадагаскарский шама
Copsychus sechellarum,Seychelles Magpie-robin,semrob1,566341071,FALSE,Сейшельский шама
Copsychus saularis,Oriental Magpie-robin,magrob,203911381,TRUE,Сорочий шама
Saxicoloides fulicatus,Indian Robin,indrob1,390084851,FALSE,Рыжегузый шама
Trichixos pyrropygus,Rufous-tailed Shama,rutsha2,203892301,FALSE,Краснохвостый шама
Kittacincla luzoniensis,White-browed Shama,whbsha1,203983331,FALSE,
Kittacincla superciliaris,Visayan Shama,vissha1,624711354,FALSE,
Kittacincla malabarica,White-rumped Shama,whrsha,203918001,FALSE,
Kittacincla albiventris,Andaman Shama,andsha1,203955131,FALSE,Андаманский шама
Kittacincla nigra,White-vented Shama,whvsha1,633422524,FALSE,
Kittacincla cebuensis,Black Shama,blasha1,627533218,FALSE,Чёрный шама
Muscicapa griseisticta,Grey-streaked Flycatcher,gysfly1,550234631,FALSE,Пестрогрудая мухоловка
Muscicapa sibirica,Dark-sided Flycatcher,dasfly,370995481,FALSE,Сибирская мухоловка
M. s. sibirica,Siberian Flycatcher,,,FALSE,
Muscicapa ferruginea,Ferruginous Flycatcher,ferfly1,162983921,FALSE,Ржавчатая мухоловка
Muscicapa muttui,Brown-breasted Flycatcher,brbfly2,401469871,FALSE,Бамбуковая мухоловка
Muscicapa dauurica,Asian Brown Flycatcher,asbfly,273396421,FALSE,Ширококлювая мухоловка
