Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,bn,bn_in
Rhipidura cockerelli,White-winged Fantail,whwfan1,68308871,FALSE,,
Rhipidura coultasi,White-gorgeted Fantail,cocfan4,122531321,FALSE,,
Rhipidura diluta,Brown-capped Fantail,brcfan1,609070569,FALSE,,
Rhipidura threnothorax,Sooty Thicket-fantail,sotfan1,203999521,FALSE,,
Rhipidura maculipectus,Black Thicket-fantail,bltfan1,204010941,FALSE,,
Rhipidura leucothorax,White-bellied Thicket-fantail,wbtfan1,166663481,FALSE,,
Rhipidura leucophrys,Willie Wagtail,wilwag1,62324211,TRUE,,
Rhipidura javanica,Sunda Pied Fantail,piefan1,203944111,FALSE,,
Rhipidura nigritorquis,Philippine Pied Fantail,phipif1,18580,FALSE,,
Rhipidura aureola,White-browed Fantail,whbfan2,469624841,FALSE,পুলক পাখি,পুলক পাখি
Rhipidura albogularis,White-spotted Fantail,spbfan1,244112091,FALSE,,
Rhipidura albicollis,White-throated Fantail,whtfan1,288826781,FALSE,,চাকদোয়েল
Rhipidura phoenicura,Rufous-tailed Fantail,rutfan1,554545451,FALSE,,
Rhipidura brachyrhyncha,Dimorphic Fantail,dimfan1,203692291,FALSE,,
IFRITIDAE,Ifrit,,,FALSE,,
Ifrita kowaldi,Blue-capped Ifrit,bucifr1,203983621,FALSE,,
MONARCHIDAE,Monarch-flycatchers,,,FALSE,,
†Myiagra freycineti,Guam Flycatcher,guafly1,5475,FALSE,,
Myiagra oceanica,Chuuk Flycatcher,ocefly1,5497,FALSE,,
Myiagra erythrops,Palau Flycatcher,palfly3,140123,FALSE,,
Myiagra pluto,Pohnpei Flycatcher,pohfly1,5536,FALSE,,
Myiagra galeata,Moluccan Flycatcher,molfly1,203906881,FALSE,,
Myiagra atra,Biak Flycatcher,biafly1,612686830,FALSE,,
Myiagra rubecula,Leaden Flycatcher,leafly2,41154551,FALSE,,
Myiagra ferrocyanea,Steel-blue Flycatcher,stbfly1,68307671,FALSE,,
Myiagra cervinicauda,Makira Flycatcher,ochfly1,203934451,FALSE,,
Myiagra caledonica,Melanesian Flycatcher,melfly1,203910491,FALSE,,
Myiagra vanikorensis,Vanikoro Flycatcher,vanfly1,203908771,FALSE,,
Myiagra albiventris,Samoan Flycatcher,samfly1,203912891,FALSE,,
Myiagra castaneigularis,Chestnut-throuated Flycatcher,chtfly1,203910891,FALSE,,
Myiagra azureocapilla,Azure-crested Flycatcher,blcfly2,203910721,FALSE,,
Myiagra ruificollis,Broad-billed Flycatcher,brbfly1,609226465,FALSE,,
Myiagra cyanoleuca,Satin Flycatcher,satfly1,650487651,FALSE,,
Myiagra alecto,Shining Flycatcher,shifly1,223328,FALSE,,
Myiagra hebetior,Mussau Flycatcher,dulfly2,630458746,FALSE,,
Myiagra eichhorni,Velvet Flycatcher,velfly1,640693550,FALSE,,
Myiagra cervinicolor,Djaul Flycatcher,,,FALSE,,
Myiagra nana,Paperbark Flycatcher,papfly1,441756031,FALSE,,
Myiagra inquieta,Restless Flycatcher,resfly1,226243,FALSE,,
Arses insularis,Ochre-collared Monarch,rucmon1,203983531,FALSE,,
Arses telescopthalmus,Frilled Monarch,frimon1,203994651,FALSE,,
Arses lorealis,Frill-necked Monarch,frnmon1,203968751,FALSE,,
Arses kaupi,Pied Monarch,piemon1,203978851,FALSE,,
Grallina cyanoleuca,Magpie-lark,maglar1,210652,TRUE,,
Grallina bruijnii,Torrent-lark,torlar1,101209,FALSE,,
Symposiachrus axillaris,Black Monarch,blamon1,167032,FALSE,,
Symposiachrus rubiensis,Rufous Monarch,rufmon1,,FALSE,,
Symposiachrus guttula,Spot-winged Monarch,spwmon1,203999531,FALSE,,
Symposiachrus mundus,Black-bibbed Monarch,blbmon2,629628491,FALSE,,
Symposiachrus sacerdotum,Flores Monarch,flomon1,624437783,FALSE,,
Symposiachrus boanensis,Black-chinned Monarch,blcmon1,,FALSE,,
Symposiachrus trivirgatus,Spectacled Monarch,spemon1,203989641,FALSE,,
Symposiachrus everetti,White-tipped Monarch,whtmon2,,FALSE,,
Symposiachrus loricatus,Black-tipped Monarch,bltmon2,509400521,FALSE,,
Symposiachrus leucurus,White-tailed Monarch,whtmon1,623886523,FALSE,,
Symposiachrus julianae,Kofiau Monarch,blbmon1,,FALSE,,
Symposiachrus brehmii,Biak Monarch,biamon1,640686598,FALSE,,
Symposiachrus manadensis,Hooded Monarch,hoomon1,203983521,FALSE,,
Symposiachrus infelix,Manus Monarch,manmon1,650741169,FALSE,,
Symposiachrus menckei,White-breasted Monarch,whbmon1,182847,FALSE,,
Symposiachrus verticalis,Black-tailed Monarch,bltmon1,651196005,FALSE,,
Symposiachrus ateralbus,Djaul Monarch,,,FALSE,,
Symposiachrus barbatus,Solomons Pied Monarch,bawmon2,647900234,FALSE,,
Symposiachrus malaitae,Malaita Monarch,bawmon4,608902356,FALSE,,
Symposiachrus browni,Kolombangara Monarch,kolmon5,173555111,FALSE,,
Symposiachrus vidua,White-collared Monarch,whcmon2,203981451,FALSE,,
Carterornis chrysomela,Golden Monarch,golmon1,203981621,FALSE,,
Carterornis leucotis,White-eared Monarch,whemon1,203941661,FALSE,,
Carterornis pileatus,White-naped Monarch,whnmon1,648249007,FALSE,,
Carterornis castus,Tanimbar Monarch,loemon1,203925831,FALSE,,
Chasiempis sclateri,Kauai Elepaio,elepai5,205630,FALSE,,
Chasiempis ibidis,Oahu Elepaio,elepai4,88670411,FALSE,,
Chasiempis sandwichensis,Hawai Elepaio,elepai,5181,FALSE,,
†Pomarea pomarea,Maupiti Monarch,maumon1,,FALSE,,
