Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,fi
Pternistis nobilis,Handsome Francolin,hanfra2,26318,FALSE,ugandanvuorifrankoliini
Pternistis camerunensis,Mount Cameroon Francolin,camfra2,310138,FALSE,kameruninvuorifrankoliini
Pternistis swierstrai,Swierstra's Francolin,swifra2,207146371,FALSE,angolanfrankoliini
Pternistis castaneicollis,Chestnut-naped Francolin,chnfra2,569512901,FALSE,ruskoniskafrankoliini
Pternistis atrifrons,Black-fronted Francolin,,,FALSE,
Pternistis erckelii,Erckel's Francolin,ercfra,5191,FALSE,sudaninfrankoliini
Pternistis ochropectus,Djibouti Francolin,djifra1,,FALSE,djiboutinfrankoliini
Francolinus francolinus,Black Francolin,blkfra,5262,FALSE,mustafrankoliini
Francolinus pictus,Painted Francolin,paifra1,245559311,FALSE,intianfrankoliini
Francolinus pintadeanus,Chinese Francolin,chifra1,203912731,FALSE,kiinanfrankoliini
Francolinus pondicerianus,Grey Francolin,,,FALSE,harmaafrankoliini
Francolinus gularis,Swamp Francolin,swafra1,617478192,FALSE,suofrankoliini
Dendroperdix sephaena,Crested Francolin,crefra2,203935661,FALSE,viirusiipifrankoliini
Peliperdix coqui,Coqui Francolin,coqfra2,277029611,FALSE,
Peliperdix albogularis,White-throated Francolin,whtfra2,203974361,FALSE,pensasfrankoliini
Peliperdix schlegelii,Schlegel's Francolin,schfra2,310774,FALSE,sudaninpensasfrankoliini
Peliperdix lathami,Latham's Francolin,forfra2,203911761,FALSE,metsäfrankoliini
Scleroptila streptophora,Ring-necked Francolin,rinfra2,381524691,FALSE,valkojuovafrankoliini
Scleroptila leivaillantii,Red-winged Francolin,rewfra2,369073831,FALSE,
Scleroptila afra,Grey-winged Francolin,gywfra1,609008514,FALSE,harmaasiipifrankoliini
Scleroptila finschi,Finsch's Francolin,finfra2,625744317,FALSE,angolanmetsäfrankoliini
Scleroptila psilolaema,Moorland Francolin,moofra2,31365811,FALSE,vuorifrankoliini
Scleroptila elgonensis,Elgon Francolin,moofra3,274754931,FALSE,mt. elgoninvuorifrankoliini
Scleroptila shelleyi,Shelley's Francolin,shefra1,559895751,FALSE,valkokurkkufrankoliini
Scleroptila whytei,Whyte's Francolin,shefra3,277097,FALSE,
