Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,cs
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,frankolín dvouostruhý
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,frankolín žlutonohý
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,frankolín Clappertonův
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,frankolín Harwoodův
NUMIDIDAE,Guineafowl,,,FALSE,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,perlička kropenatá
N. m. galeatus,West African Guineafowl,,,FALSE,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,perlička červenohlavá
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,perlička černá
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,perlička supí
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,perlička lesní
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,perlička modrolící
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,perlička chocholatá
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,perlička bělošíjná
ODONTOPHORIDAE,New World Quails,,,FALSE,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,kur skalní
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,frankolín iturský
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,křepel pruhovaný
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,křepel horský
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,křepel virginský
C. v. ridgwayi,Masked Bobwhite,,,FALSE,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,křepel černohrdlý
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,křepel běloprsý
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,křepel chocholatý
