Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,tr
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,Cüce/taşlık cüce bıldırcını
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,Taşlık cüce bıldırcını
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,Kızıl cüce bıldırcın
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,Kurşuni cüce bıldırcın
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,Kurşuni bıldırcın
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,Ak kaşlı turaç
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,çift mahmuzlu turaç
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,Sarı gagalı turaç
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,Çorak turacı
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,Habeş turacı
NUMIDIDAE,Guineafowl,,,FALSE,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,Beçtavuğu
N. m. galeatus,West African Guineafowl,,,FALSE,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,Ak Yakalı Beçtavuğu
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,Kara Beçtavuğu
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,Akbaba Beçtavuğu
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,Peruklu Beçtavuğu
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,Batılı Kıvırcık Beçtavuğu
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,Doğulu Kıvırcık Beçtavuğu
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,Güneyli Kıvırcık Beçtavuğu
ODONTOPHORIDAE,New World Quails,,,FALSE,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,Taştavuğu
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,Nahan kekliği
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,Çubuklu Kolin
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,Dağ Kolini
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,Virginia Bıldırcını
C. v. ridgwayi,Masked Bobwhite,,,FALSE,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,Kara Boğazlı Kolin
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,Sarı Suratlı Kolin
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,Tepeli Kolin
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,Mavi Pullu Bıldırcın
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,Zarif Kolin
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,Gambel Kolini
Callipepla californica,California Quail,calqua,111018,TRUE,California Bıldırcını
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,Sakallı Ağaçbıldırcını
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,Kara Yüzlü Ağaçbıldırcını
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,Ak Yüzlü Ağaçbıldırcını
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,Mermerli Tokro
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,Kurşuni Tokro
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,Kara Boğazlı Tokro
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,Kara Boğazlı Tokro
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,Kara Yüzlü Tokro
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,Kızıl Göğüslü Kurşuni Tokro
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,Kara Sırtlı Tokro
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,Kızıl Göğüslü Tokro
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,Yazılı Tokro
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,Kolyeli Tokro
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,Benekli Tokro
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,Kara Göğüslü Tokro
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,Bıyıklı Tokro
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,Yıldızlı Tokro
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,İncili Tokro
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,Kuşaklı Kolin
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,Ötücü Kolin
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,Soytarı Kolin
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,Soytarı Kolin (sallei/rowleyi)
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,Güney Soytarı Kolini
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,Udzungva orman kekliği
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,Tepeli Keklik
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,Dağ kekliği
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,Kızıl boğazlı dağ kekliği
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,Ak yanaklı dağ kekliği
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,Al gagalı turaç
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,Kap turacı
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,Benekli turaç
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,Lekeli turaç
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,Ahanta turacı
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,Pullu turaç
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,Kızıl çizgili turaç
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,Sarı boğazlı turaç
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,Al çizgili turaç
