Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,ca
Amaurornis isabellina,Isabelline Bush-hen,isabuh1,204012791,FALSE,Polla isabelina
Amaurornis olivacea,Plain Bush-hen,plabuh1,30137171,FALSE,polla de les Filipines
Amaurornis magnirostris,Talaud Bush-hen,talbuh1,203893281,FALSE,Polla becgrossa
Amaurornis moluccana,Pale-vented Bush-hen,rutbuh1,203886861,FALSE,Polla de les Moluques
Amaurornis phoenicurus,White-breasted Waterhen,whbwat1,596624031,FALSE,polla pitblanca
Amaurornis cinerea,White-browed Crake,whbcra1,346434421,FALSE,Rasclet emmascarat
Amaurornis marginalis,Striped Crake,strcra1,650574370,FALSE,Polla pintada europea
Megacrex inepta,New Guinea Flightless Rail,ngfrai1,,FALSE,Rascló àpter
Gallicrex cinerea,Watercock,waterc1,369434801,FALSE,Polla crestada
Porphyrio porphyrio,Purple Swamphen,purswa1,356004491,FALSE,Polla blava comuna
P. p. madagascariensis,African Swamphen,purswa2,137584541,FALSE,
P. p. poliocephalus,Grey-headed Swamphen,,,FALSE,
†Porphyrio albus,White Swamphen,,,FALSE,
†Porphyrio paepae,Marquesan Swamphen,marswa1,,FALSE,
†Porphyrio kukwiedei,New Caledonia Gallinule,,,FALSE,
GRUIFORMES,,,,FALSE,
HELIORNITHIDAE,Finfoots,,,FALSE,
Podica senegalensis,African Finfoot,afrfin1,618612784,FALSE,Heliorni africà
Heliopais personata,Masked Finfoot,masfin3,,FALSE,Heliorni asiàtic
Heliornis fulica,Sungrebe,sungre1,203988221,TRUE,Heliorni americà
RALLIDAE,Rails Gallinules Coots,,,FALSE,Rallid sp.
Sarothrura pulchra,White-spotted Flufftail,whsflu1,203965051,FALSE,Rasclet perlat
Sarothrura elegans,Buff-spotted Flufftail,busflu1,177489191,FALSE,Rasclet elegant
Sarothrura rufa,Red-chested Flufftail,recflu1,177489341,FALSE,Rasclet de Vieillot
Sarothrura lugens,Chestnut-headed Flufftail,chhflu1,24891,FALSE,Rasclet de cap rogenc
Sarothrura boehmi,Streaky-breasted Flufftail,stbflu1,296704481,FALSE,Rasclet de Boehm
Sarothrura affinis,Striped Flufftail,strflu1,575772991,FALSE,Rasclet estriat
Sarothrura insularis,Madagascar Flufftail,madflu1,506168581,FALSE,Rasclet de Madagascar
Sarothrura ayresi,White-winged Flufftail,whwflu1,,FALSE,Rasclet alablanc
Sarothrura watersi,Slender-billed Flufftail,slbflu1,97586,FALSE,Rasclet de Waters
Himantornis haematopus,Nkulengu Rail,nkurai1,203974551,FALSE,Rascló cama-roig
Canirallus oculeus,Grey-throated Rail,gytrai1,613658922,FALSE,Rascló caragrís
Mentocrex kioloides,Madagascar Wood-rail,madwor1,506168051,FALSE,rascló becblau
Mentocrex beankaensis,Tsingy Wood-rail,tsiwor1,,FALSE,Rascló del Tsingy
Rallicula rubra,Chestnut Forest-rail,chfrai1,609065712,FALSE,Rasclet bru
Rallicula leucospila,White-striped Forest-rail,wsfrai1,203997101,FALSE,rasclet llistat
Rallicula forbesi,Forbes's Forest-rail,forrai1,100546,FALSE,Rasclet de Forbes
Rallicula mayri,Mayr's Forest-rail,mayrai1,139541,FALSE,Rasclet de Mayr
Rallina tricolor,Red-necked Crake,rencra1,480338501,FALSE,Rasclet tricolor
Rallina canningi,Andaman Crake,andcra1,224649011,FALSE,Rasclet de les illes Andaman
Rallina fasciata,Red-legged Crake,relcra1,599026891,FALSE,Rasclet cama-roig
Rallina eurizonoides,Slaty-legged Crake,sllcra1,203895951,FALSE,Rasclet forestal
Coturnicops exquisitus,Swinhoe's Rail,swirai1,31429111,FALSE,Rasclet de Swinhoe
Coturnicops noveboracensis,Yellow Rail,yelrai,128195241,FALSE,rasclet groguenc
Coturnicops notatus,Speckled Rail,sperai1,166734,FALSE,Rasclet de Darwin
Micropygia schomburgkii,Ocellated Crake,ocecra1,424945081,FALSE,Rasclet ocel·lat
Rufirallus castaneiceps,Chestnut-headed Crake,chhcra1,203999581,FALSE,Rasclet capbrú
Rufirallus viridis,Russet-crowned Crake,ruccra1,203931201,FALSE,Rasclet d'antifaç
Laterallus melanophaius,Rufous-sided Crake,ruscra1,161530141,FALSE,rasclet de flancs rogencs
Laterallus levraudi,Rusty-flanked Crake,rufcra2,454845621,FALSE,Rasclet de l'Orinoco
Laterallus ruber,Ruddy Crake,rudcra1,224201931,FALSE,Rasclet encaputxat
Laterallus albigularis,White-throated Crake,whtcra1,78967391,FALSE,Rasclet golablanc
Laterallus exilis,Grey-breasted Crake,grbcra1,203932211,FALSE,Rasclet pitgrís
Laterallus jamaicensis,Black Rail,blkrai,49998091,TRUE,Rasclet fosc
Laterallus tuerosi,Junin Rail,,,FALSE,rasclet del Junín
Laterallus spilonota,Galapagos Rail,galrai1,203698271,FALSE,Rasclet de les Galápagos
Laterallus leucopyrrhus,Red-and-white Crake,rawcra1,609184339,FALSE,Rasclet cuablanc
Laterallus xenopterus,Rufous-faced Crake,rufcra1,499624321,FALSE,Rasclet de Conover
Rallus longirostris,Mangrove Rail,manrai1,406587451,FALSE,rascló gris
Rallus tenuirostris,Mexican Rail,kinrai2,470683061,FALSE,rascló de Mèxic
Rallus obsoletus,Ridgway's Rail,ridrai1,323622841,FALSE,Rascló de Ridgway
Rallus elegans,King Rail,kinrai4,457670641,TRUE,rascló elegant
