Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,it
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,Quaglia boschereccia pettonero
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,Quaglia boschereccia facciastriata
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,Quaglia boschereccia stellata
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,Quaglia boschereccia macchiata
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,Quaglia facciafulva
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,Quaglia canora
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,Quaglia di Montezuma
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,Quaglia ocellata
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,Pernice degli Udzungwa
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,Pernice crestata
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,Pernice di collina
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,Pernice golarossiccia
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,Pernice guancebianche
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,Francolino beccorosso
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,Francolino del Capo
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,Francolino del Natal
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,Francolino di Hildebrandt
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,Francolino dell'Ashanti
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,Francolino squamato
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,Francolino striegrigie
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,Francolino collogiallo
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,Francolino pettogrigio
Pternistis afer,Red-necked Francolin,renfra1,94194,FALSE,Francolino collorosso
