Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,zh,zh_hk,zh_tw
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,哈氏鹧鸪,哈氏鹧鸪,哈勞氏鷓鴣
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,双距鹧鸪,双距鹧鸪,雙距鷓鴣
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,黄嘴鹧鸪,黄嘴鹧鸪,黃嘴鷓鴣
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,红眶鹧鸪,红眶鹧鸪,紅眶鷓鴣
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,海氏鹧鸪,海氏鹧鸪,哈伍德氏鷓鴣
NUMIDIDAE,Guineafowl,,,FALSE,,,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,珠鸡,珠鸡,普通珠雞
N. m. galeatus,West African Guineafowl,,,FALSE,,,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,白胸珠鸡,白胸珠鸡,白胸珠雞
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,黑珠鸡,黑珠鸡,黑珠雞
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,鹫珠鸡,鹫珠鸡,鷲珠雞
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,西非冠珠鸡,西非冠珠鸡,西非冠珠雞
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,西冠珠鸡,西冠珠鸡,
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,,,
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,,,
ODONTOPHORIDAE,New World Quails,,,FALSE,,,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,石鹑,石鹑,石鶉
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,纳氏鹧鸪,纳氏鹧鸪,納罕氏鷓鴣
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,斑鹑,斑鹑,斑鶉
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,山翎鹑,山翎鹑,山鶉〔刀翎鶉〕
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,,,
C. v. ridgwayi,Masked Bobwhite,,,FALSE,,,
