Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,fr
Cinclodes aricomae,Royal Cinclodes,roycin1,373848931,FALSE,Cinclode royal
Cinclodes palliatus,White-bellied Cinclodes,whbcin1,31746531,FALSE,Cinclode à ventre blanc
Cinclodes atacamensis,White-winged Cinclodes,whwcin1,622461176,FALSE,Cinclode à ailes blanches
Cinclodes patagonicus,Dark-bellied Cinclodes,dabcin1,75717301,FALSE,Cinclode à ventre sombre
Cinclodes taczanowskii,Surf Cinclodes,surcin1,29006311,FALSE,Cinclode de Taczanowski
Cinclodes nigrofumosus,Seaside Cinclodes,seacin1,310780741,FALSE,Cinclode du ressac ou C. de Taczanowski
Anabazenops dorsalis,Dusky-cheeked Foliage-gleaner,ducfog1,203699971,FALSE,Anabate à grands sourcils
Anabazenops fuscus,White-collared Foliage-gleaner,wcfgle1,17646,FALSE,Anabate à col blanc
Megaxenops parnaguae,Great Xenops,grexen1,29977491,FALSE,Mégasittine du Brésil
Cichlocolaptes leucophrus,Large Pale-browed Treehunter,pabtre1,203983041,FALSE,Anabate à sourcils blancs
Cichlocolaptes holti,Small Pale-browed Treehunter,,,FALSE,Anabate à sourcils blancs (holti)
Cichlocolaptes mazarbarnetti,Cryptic Treehunter,crytre1,128025,FALSE,Anabate de Mazar Barnett
Heliobletus contaminatus,Sharp-billed Treehunter,shbtre1,20037,FALSE,Anabate à bec fin
Philydor novaesi,Alagoas Foliage-gleaner,alfgle1,203691851,FALSE,Anabate d'Alagoas
Philydor atricapillus,Black-capped Foliage-gleaner,bcfgle1,108303451,FALSE,Anabate à tête noire ou A. d'Alagoas
Philydor pyrrhodes,Cinnamon-rumped Foliage-gleaner,crfgle1,13327,FALSE,Anabate flamboyant
Philydor fuscipenne,Slaty-winged Foliage-gleaner,swfgle,546696131,FALSE,Anabate à ailes sombres
