Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,jp,jp_latn
Callipepla californica,California Quail,calqua,111018,TRUE,カンムリウズラ,
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,ヒゲウズラ,
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,オナガウズラ,
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,シロマユオナガウズラ,
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,ギアナウズラ,
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,ジャネイロウズラ,
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,ミミグロウズラ,
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,ミミグロウズラ,
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,クロビタイウズラ,
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,チャノドウズラ,
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,セグロウズラ,
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,チャバラウズラ,
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,パナマクビワウズラ,
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,クビワウズラ,
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,ベネゼエラウズラ,
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,ノドジロウズラ,
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,シロボシウズラ,
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,ホシウズラ,
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,マダラウズラ,
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,アシナガコリン,
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,ユビナガウズラ,
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,シロマダラウズラ,
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,シロマダラウズラ（sallei／rowleyi）,
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,タマフウズラ,
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,ウズンガモリテッケイ,
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,カンムリシャコ,
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,チャガシラミヤマテッケイ,
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,ノドアカミヤマテッケイ,
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,ノドグロミヤマテッケイ,
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,サザナミシャコ,
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,ケープキジシャコ,
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,ナタールキジシャコ,
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,メスアカシャコ,
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,チャミミシャコ,
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,ウロコシャコ,
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,アンゴラシャコ,
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,ハゲノドシャコ,
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,タンザニアアカノドシャコ,
Pternistis afer,Red-necked Francolin,renfra1,94194,FALSE,アカノドシャコ,
Pternistis swainsonii,Swainson's Francolin,swafra2,275167,FALSE,クロアシアカノドシャコ,
Pternistis jacksoni,Jackson's Francolin,jacfra2,619037911,FALSE,シロスジシャコ,
Pternistis nobilis,Handsome Francolin,hanfra2,26318,FALSE,ウツクシシャコ,
Pternistis camerunensis,Mount Cameroon Francolin,camfra2,310138,FALSE,カメルーンヤマシャコ,
Pternistis swierstrai,Swierstra's Francolin,swifra2,207146371,FALSE,クロクビワシャコ,
Pternistis castaneicollis,Chestnut-naped Francolin,chnfra2,569512901,FALSE,チャエリシャコ,
Pternistis atrifrons,Black-fronted Francolin,,,FALSE,,
Pternistis erckelii,Erckel's Francolin,ercfra,5191,FALSE,クロガオシャコ,
Pternistis ochropectus,Djibouti Francolin,djifra1,,FALSE,ソマリアシャコ,
