Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,sv
Francolinus pictus,Painted Francolin,paifra1,245559311,FALSE,droppfläckig frankolin
Francolinus pintadeanus,Chinese Francolin,chifra1,203912731,FALSE,pärlfrankolin
Francolinus pondicerianus,Grey Francolin,,,FALSE,grå frankolin
Francolinus gularis,Swamp Francolin,swafra1,617478192,FALSE,kärrfrankolin
Dendroperdix sephaena,Crested Francolin,crefra2,203935661,FALSE,tofsfrankolin
Peliperdix coqui,Coqui Francolin,coqfra2,277029611,FALSE,
Peliperdix albogularis,White-throated Francolin,whtfra2,203974361,FALSE,vitstrupig frankolin
Peliperdix schlegelii,Schlegel's Francolin,schfra2,310774,FALSE,schlegelfrankolin
Peliperdix lathami,Latham's Francolin,forfra2,203911761,FALSE,skogsfrankolin
Scleroptila streptophora,Ring-necked Francolin,rinfra2,381524691,FALSE,halsbandsfrankolin
Scleroptila leivaillantii,Red-winged Francolin,rewfra2,369073831,FALSE,
Scleroptila afra,Grey-winged Francolin,gywfra1,609008514,FALSE,gråvingad frankolin
Scleroptila finschi,Finsch's Francolin,finfra2,625744317,FALSE,finschfrankolin
Scleroptila psilolaema,Moorland Francolin,moofra2,31365811,FALSE,höglandsfrankolin
Scleroptila elgonensis,Elgon Francolin,moofra3,274754931,FALSE,elgonfrankolin
Scleroptila shelleyi,Shelley's Francolin,shefra1,559895751,FALSE,miombofrankolin/zambiafrankolin
Scleroptila whytei,Whyte's Francolin,shefra3,277097,FALSE,zambiafrankolin
